P. Name,P. Mass Class,P. Habitable Class,P. Min Mass (EU),P. Density (EU),Min Mass,Min Mass 3,X
HD 4747 b,Jovian,non-habitable,19139.99,27.4,1,38279.98,1
HD 5319 b,Jovian,non-habitable,616.8,0.44,0,1233.6,0
HD 5319 c,Jovian,non-habitable,365.63,0.31,0,731.26,0
HD 5583 b,Jovian,non-habitable,1837.69,1.15,1,3675.38,1
HD 5608 b,Jovian,non-habitable,445.12,0.35,0,890.24,0
HD 5891 b,Jovian,non-habitable,2416.34,1.52,1,4832.68,1
HD 6434 b,Jovian,non-habitable,124.0,0.22,0,248.0,0
HD 6718 b,Jovian,non-habitable,495.99,0.38,0,991.98,0
HD 7199 b,Jovian,non-habitable,92.2,0.21,0,184.4,0
HD 7449 b,Jovian,non-habitable,352.91,0.31,0,705.82,0
HD 7449 c,Jovian,non-habitable,635.88,0.45,0,1271.76,0
HD 7924 c,Superterran,non-habitable,7.85,1.21,0,15.7,0
HD 7924 d,Superterran,non-habitable,6.45,1.16,0,12.9,0
HD 8535 b,Jovian,non-habitable,216.2,0.25,0,432.4,0
HD 8574 b,Jovian,non-habitable,670.85,0.46,0,1341.7,0
HD 8673 b,Jovian,non-habitable,4514.75,3.11,1,9029.5,1
HD 9174 b,Jovian,non-habitable,352.91,0.31,0,705.82,0
HD 9446 b,Jovian,non-habitable,222.56,0.25,0,445.12,0
HD 9446 c,Jovian,non-habitable,578.65,0.42,0,1157.3,0
HD 9578 b,Jovian,non-habitable,197.12,0.24,0,394.24,0
HD 10180 c,Neptunian,non-habitable,13.1,0.2,0,26.2,0
HD 10180 d,Neptunian,non-habitable,11.75,0.2,0,23.5,0
HD 10180 e,Neptunian,non-habitable,25.11,0.2,0,50.22,0
HD 10180 f,Neptunian,non-habitable,23.91,0.2,0,47.82,0
HD 10180 g,Neptunian,non-habitable,21.41,0.2,0,42.82,0
HD 10180 h,Jovian,non-habitable,64.42,0.2,0,128.84,0
HD 10442 b,Jovian,non-habitable,667.67,0.46,0,1335.34,0
HD 10647 b,Jovian,non-habitable,295.68,0.28,0,591.36,0
HD 10697 b,Jovian,non-habitable,2171.53,1.36,1,4343.06,1
HD 11506 b,Jovian,non-habitable,1093.71,0.7,1,2187.42,0
HD 11506 c,Jovian,non-habitable,260.71,0.27,0,521.42,0
HD 11755 b,Jovian,non-habitable,2066.61,1.3,1,4133.22,1
HD 11964 b,Jovian,non-habitable,197.76,0.24,0,395.52,0
HD 11964 c,Neptunian,non-habitable,25.12,0.2,0,50.24,0
HD 11977 b,Jovian,non-habitable,1999.84,1.25,1,3999.68,1
HD 12484 b,Jovian,non-habitable,947.46,0.61,0,1894.92,0
HD 12648 b,Jovian,non-habitable,922.03,0.6,0,1844.06,0
HD 12661 b,Jovian,non-habitable,731.26,0.5,0,1462.52,0
HD 12661 c,Jovian,non-habitable,499.17,0.38,0,998.34,0
HD 13189 b,Jovian,non-habitable,4451.16,3.05,1,8902.32,1
HD 13808 b,Neptunian,non-habitable,10.33,0.2,0,20.66,0
HD 13808 c,Neptunian,non-habitable,11.45,0.2,0,22.9,0
HD 13908 b,Jovian,non-habitable,275.02,0.28,0,550.04,0
HD 13908 c,Jovian,non-habitable,1631.03,1.02,1,3262.06,1
HD 13931 b,Jovian,non-habitable,597.73,0.43,0,1195.46,0
HD 14067 b,Jovian,non-habitable,2479.93,1.57,1,4959.86,1
HD 16141 b,Jovian,non-habitable,68.36,0.2,0,136.72,0
HD 16175 b,Jovian,non-habitable,1516.57,0.95,1,3033.14,0
HD 16417 b,Neptunian,non-habitable,21.94,0.2,0,43.88,0
HD 17092 b,Jovian,non-habitable,1462.52,0.92,1,2925.04,0
HD 17674 b,Jovian,non-habitable,276.61,0.28,0,553.22,0
HD 18742 b,Jovian,non-habitable,858.44,0.56,0,1716.88,0
HD 19467 b,Jovian,non-habitable,16532.88,21.27,1,33065.76,1
HD 19994 b,Jovian,non-habitable,534.14,0.39,0,1068.28,0
HD 20003 b,Neptunian,non-habitable,12.02,0.2,0,24.04,0
HD 20003 c,Neptunian,non-habitable,13.42,0.2,0,26.84,0
HD 20367 b,Jovian,non-habitable,340.2,0.3,0,680.4,0
HD 20781 b,Neptunian,non-habitable,12.05,0.2,0,24.1,0
HD 20781 c,Neptunian,non-habitable,15.77,0.2,0,31.54,0
HD 20782 b,Jovian,non-habitable,604.09,0.43,0,1208.18,0
HD 20794 b,Terran,non-habitable,2.82,1.0,0,5.64,0
HD 20794 d,Terran,non-habitable,3.53,1.04,0,7.06,0
HD 20794 e,Terran,non-habitable,4.77,1.09,0,9.54,0
HD 20868 b,Jovian,non-habitable,632.7,0.44,0,1265.4,0
HD 21693 b,Neptunian,non-habitable,10.24,0.2,0,20.48,0
HD 21693 c,Neptunian,non-habitable,20.58,0.2,0,41.16,0
HD 22781 b,Jovian,non-habitable,4339.88,2.96,1,8679.76,1
HD 23079 b,Jovian,non-habitable,778.95,0.52,0,1557.9,0
HD 23127 b,Jovian,non-habitable,476.91,0.37,0,953.82,0
HD 23596 b,Jovian,non-habitable,2575.31,1.63,1,5150.62,1
HD 24040 b,Jovian,non-habitable,1274.94,0.8,1,2549.88,0
HD 24064 b,Jovian,non-habitable,2988.64,1.92,1,5977.28,1
HD 25171 b,Jovian,non-habitable,302.04,0.29,0,604.08,0
HD 27442 b,Jovian,non-habitable,429.22,0.34,0,858.44,0
HD 27631 b,Jovian,non-habitable,461.01,0.36,0,922.02,0
HD 27894 b,Jovian,non-habitable,211.43,0.25,0,422.86,0
HD 27894 c,Jovian,non-habitable,51.51,0.2,0,103.02,0
HD 27894 d,Jovian,non-habitable,1721.65,1.08,1,3443.3,1
HD 28185 b,Jovian,non-habitable,1812.26,1.14,1,3624.52,1
HD 28254 b,Jovian,non-habitable,368.81,0.32,0,737.62,0
HD 28678 b,Jovian,non-habitable,540.5,0.4,0,1081.0,0
HD 29021 b,Jovian,non-habitable,763.06,0.51,0,1526.12,0
HD 30177 b,Jovian,non-habitable,2565.78,1.62,1,5131.56,1
HD 30177 c,Jovian,non-habitable,953.82,0.62,0,1907.64,0
HD 30562 b,Jovian,non-habitable,410.14,0.34,0,820.28,0
HD 30669 b,Jovian,non-habitable,149.43,0.23,0,298.86,0
HD 30856 b,Jovian,non-habitable,572.29,0.41,0,1144.58,0
HD 31253 b,Jovian,non-habitable,158.97,0.23,0,317.94,0
HD 31527 b,Neptunian,non-habitable,11.54,0.2,0,23.08,0
HD 31527 c,Neptunian,non-habitable,15.83,0.2,0,31.66,0
HD 31527 d,Neptunian,non-habitable,16.5,0.2,0,33.0,0
HD 32518 b,Jovian,non-habitable,966.54,0.62,0,1933.08,0
HD 32963 b,Jovian,non-habitable,222.56,0.25,0,445.12,0
HD 33142 b,Jovian,non-habitable,413.32,0.34,0,826.64,0
HD 33564 b,Jovian,non-habitable,2893.25,1.85,1,5786.5,1
HD 33844 b,Jovian,non-habitable,623.16,0.44,0,1246.32,0
HD 33844 c,Jovian,non-habitable,556.4,0.41,0,1112.8,0
HD 34445 b,Jovian,non-habitable,199.98,0.25,0,399.96,0
HD 34445 c,Jovian,non-habitable,53.41,0.2,0,106.82,0
HD 34445 d,Neptunian,non-habitable,30.84,0.2,0,61.68,0
HD 34445 e,Neptunian,non-habitable,16.82,0.2,0,33.64,0
HD 34445 f,Neptunian,non-habitable,37.83,0.2,0,75.66,0
HD 34445 g,Jovian,non-habitable,120.82,0.22,0,241.64,0
HD 35759 b,Jovian,non-habitable,1195.45,0.76,1,2390.9,0
HD 37124 b,Jovian,non-habitable,214.61,0.25,0,429.22,0
HD 37124 c,Jovian,non-habitable,207.3,0.25,0,414.6,0
HD 37124 d,Jovian,non-habitable,221.29,0.25,0,442.58,0
HD 37605 b,Jovian,non-habitable,894.37,0.58,0,1788.74,0
HD 37605 c,Jovian,non-habitable,1070.19,0.68,1,2140.38,0
HD 38283 b,Jovian,non-habitable,108.1,0.21,0,216.2,0
HD 38529 b,Jovian,non-habitable,295.68,0.28,0,591.36,0
HD 38529 c,Jovian,non-habitable,7535.18,6.16,1,15070.36,1
HD 38801 b,Jovian,non-habitable,3401.96,2.22,1,6803.92,1
HD 38858 b,Neptunian,non-habitable,30.55,0.2,0,61.1,0
HD 39091 b,Jovian,non-habitable,3274.78,2.12,1,6549.56,1
HD 39194 b,Terran,non-habitable,3.72,1.04,0,7.44,0
HD 39194 c,Superterran,non-habitable,5.95,1.14,0,11.9,0
HD 39194 d,Superterran,non-habitable,5.15,1.11,0,10.3,0
HD 39392 b,Jovian,non-habitable,4196.81,2.84,1,8393.62,1
HD 40307 b,Terran,non-habitable,3.82,1.05,0,7.64,0
HD 40307 c,Superterran,non-habitable,6.43,1.16,0,12.86,0
HD 40307 d,Superterran,non-habitable,8.74,1.24,0,17.48,0
HD 40307 e,Terran,non-habitable,3.5,1.03,0,7.0,0
HD 40307 f,Terran,non-habitable,3.62,1.04,0,7.24,0
HD 40307 g,Superterran,psychroplanet,7.09,1.18,0,14.18,0
HD 40956 b,Jovian,non-habitable,858.44,0.56,0,1716.88,0
HD 40979 b,Jovian,non-habitable,1274.94,0.8,1,2549.88,0
HD 41004 A b,Jovian,non-habitable,807.57,0.54,0,1615.14,0
HD 41248 c,Superterran,non-habitable,7.09,1.18,0,14.18,0
HD 42012 b,Jovian,non-habitable,508.7,0.38,0,1017.4,0
HD 42618 b,Neptunian,non-habitable,14.4,0.2,0,28.8,0
HD 43197 b,Jovian,non-habitable,190.76,0.24,0,381.52,0
HD 43691 b,Jovian,non-habitable,791.67,0.53,0,1583.34,0
HD 44219 b,Jovian,non-habitable,184.41,0.24,0,368.82,0
HD 45184 b,Neptunian,non-habitable,12.72,0.2,0,25.44,0
HD 45350 b,Jovian,non-habitable,569.11,0.41,0,1138.22,0
HD 45364 b,Jovian,non-habitable,59.52,0.2,0,119.04,0
HD 45364 c,Jovian,non-habitable,209.17,0.25,0,418.34,0
HD 45652 b,Jovian,non-habitable,149.43,0.23,0,298.86,0
HD 46375 b,Jovian,non-habitable,10.05,0.05,0,20.1,0
HD 47186 b,Neptunian,non-habitable,22.79,0.2,0,45.58,0
HD 47186 c,Jovian,non-habitable,111.47,0.21,0,222.94,0
HD 47366 b,Jovian,non-habitable,556.4,0.41,0,1112.8,0
HD 47366 c,Jovian,non-habitable,591.37,0.42,0,1182.74,0
HD 47536 b,Jovian,non-habitable,1589.7,1.0,1,3179.4,0
HD 48265 b,Jovian,non-habitable,368.81,0.32,0,737.62,0
HD 49674 b,Neptunian,non-habitable,5.3,0.02,0,10.6,0
HD 50499 b,Jovian,non-habitable,543.68,0.4,0,1087.36,0
HD 50554 b,Jovian,non-habitable,1640.57,1.03,1,3281.14,1
HD 51608 b,Neptunian,non-habitable,13.13,0.2,0,26.26,0
HD 51608 c,Neptunian,non-habitable,17.96,0.2,0,35.92,0
HD 52265 b,Jovian,non-habitable,333.84,0.3,0,667.68,0
HD 52265 c,Jovian,non-habitable,111.28,0.21,0,222.56,0
HD 59686 A b,Jovian,non-habitable,2200.14,1.38,1,4400.28,1
HD 60532 b,Jovian,non-habitable,2928.23,1.87,1,5856.46,1
HD 60532 c,Jovian,non-habitable,6934.27,5.47,1,13868.54,1
HD 62509 b,Jovian,non-habitable,922.03,0.6,0,1844.06,0
HD 63765 b,Jovian,non-habitable,203.48,0.25,0,406.96,0
HD 65216 b,Jovian,non-habitable,400.6,0.33,0,801.2,0
HD 65216 c,Jovian,non-habitable,54.05,0.2,0,108.1,0
HD 66141 b,Jovian,non-habitable,1907.64,1.2,1,3815.28,1
HD 66428 b,Jovian,non-habitable,896.59,0.59,0,1793.18,0
HD 67087 b,Jovian,non-habitable,972.9,0.63,0,1945.8,0
HD 67087 c,Jovian,non-habitable,1542.01,0.97,1,3084.02,0
HD 68402 b,Jovian,non-habitable,976.08,0.63,0,1952.16,0
HD 68988 b,Jovian,non-habitable,591.37,0.42,0,1182.74,0
HD 69830 b,Neptunian,non-habitable,45.37,0.2,0,90.74,0
